user_id,gender,is_member
99241118,1,1
21405321,0,1
93946162,0,1
10960939,0,1
28638001,0,1
104859881,0,1
49579858,0,1
87098913,0,1
110374516,1,1
93284287,0,1
108912700,1,1
138390959,1,1
33739321,0,1
99430158,0,1
131997583,1,1
65043683,0,1
31456426,0,1
91342405,0,1
8847877,0,1
33077425,0,1
57954612,0,1
27478941,0,1
11818955,0,1
2763135,0,1
126336907,1,1
87942719,0,1
139019375,1,1
111691361,1,1
107765105,1,1
33802383,0,1
123227202,1,1
19831033,0,1
119278510,1,1
9710339,0,1
60550509,0,1
33744583,0,1
87077725,0,1
91495022,0,1
34187941,0,1
4374427,0,1
141187200,1,1
85515812,0,1
52610714,0,1
135756066,1,1
45820472,0,1
141016162,1,1
114115623,1,1
50355045,0,1
3945782,0,1
71211432,0,1
127771332,1,1
38556307,0,1
23593325,0,1
48777158,0,1
44640814,0,1
68157578,0,1
133744457,1,1
97122756,0,1
12662961,0,1
4231989,0,1
112133723,1,1
62359568,0,1
91540968,0,1
102244291,0,1
13103318,0,1
101560598,1,1
99222509,1,1
120938470,1,1
138964981,1,1
100684618,0,1
111363768,1,1
80216957,0,1
100737108,0,1
25211339,0,1
142244794,1,1
413178,0,1
14664626,0,1
23359188,0,1
13851244,0,1
40358819,0,1
86442990,0,1
104849552,1,1
137996912,1,1
133621051,1,1
127521344,1,1
32353000,0,1
33359405,0,1
138554874,1,1
75321867,0,1
60890401,0,1
133480628,1,1
25438815,0,1
40211203,0,1
129535209,1,1
12711593,0,1
138214018,1,1
123892536,1,1
16113880,0,1
24336759,0,1
59302934,0,1
101970196,1,1
63164461,0,1
12592296,0,1
114845984,1,1
87509181,0,1
93281824,0,1
23740258,0,1
45021776,0,1
139961106,1,1
36886776,0,1
135080969,1,1
89160493,0,1
10219075,0,1
61513100,0,1
97354034,0,1
100772562,0,1
66232679,0,1
139752048,1,1
27129711,0,1
99796276,1,1
102477155,0,1
37638767,0,1
18913329,0,1
88865653,0,1
47137081,0,1
68255573,0,1
9996155,0,1
32334610,0,1
99529968,1,1
77443046,0,1
90065698,0,1
77563495,0,1
114931013,1,1
90943326,0,1
27596072,0,1
48752418,0,1
113551763,1,1
5091068,0,1
58238111,0,1
115164360,1,1
101260672,1,1
53281938,0,1
122301567,1,1
93349361,0,1
87056353,0,1
43624984,0,1
8509077,0,1
20497713,0,1
25414648,0,1
101781721,1,1
88007634,0,1
12683992,0,1
68342657,0,1
49848032,0,1
10020755,0,1
128268006,1,1
131303989,1,1
22410346,0,1
108903107,1,1
139698902,1,1
114926003,0,1
27636346,0,1
53831524,0,1
7843229,0,1
76014275,0,1
133866163,1,1
107109917,1,1
78794958,0,1
69807585,0,1
62334433,0,1
36005648,0,1
98245656,1,1
51233471,0,1
101256206,0,1
55766107,0,1
1534718,0,1
133788184,1,1
97824991,1,1
59131217,0,1
34166947,0,1
119092054,1,1
130594670,1,1
90262162,0,1
100090063,0,1
91675566,0,1
41798966,0,1
50071113,0,1
62118780,0,1
4102766,0,1
83988501,0,1
98798352,1,1
68563462,0,1
74645093,0,1
132057506,1,1
92004075,0,1
100109755,1,1
3166978,0,1
84414222,0,1
67658666,0,1
81933823,0,1
38219792,0,1
68161467,0,1
23688052,0,1
42340446,0,1
94795739,0,1
105548494,0,1
115867129,0,1
112539954,1,1
32695127,0,1
68428732,0,1
24288984,0,1
45433328,0,1
15494311,0,1
108472858,1,1
128992470,1,1
72214388,0,1
97933481,1,1
95272651,0,1
18820857,0,1
50145534,0,1
13396413,0,1
27068656,0,1
23218973,0,1
124790821,1,1
113230398,1,1
20656785,0,1
23367131,0,1
75371091,0,1
9862954,0,1
137284530,1,1
112417191,1,1
117112100,1,1
83988987,0,1
74012467,0,1
101449182,1,1
21883663,0,1
54658244,0,1
137625581,1,1
133888509,1,1
95386873,0,1
70617695,0,1
80977557,0,1
20849275,0,1
18544913,0,1
89931597,0,1
74927354,0,1
109823995,1,1
69303906,0,1
16777748,0,1
40781736,0,1
125067299,1,1
112284483,0,1
35773124,0,1
135068151,1,1
140827248,1,1
91162737,0,1
83851924,0,1
50530013,0,1
122679643,1,1
122030046,1,1
120206620,1,1
37008188,0,1
59127123,0,1
70606713,0,1
8205078,0,1
