user_id,gender,is_member,region,income,age
99241118,1,1,1,2,1
21405321,0,1,4,2,2
93946162,0,1,3,4,1
10960939,0,1,3,3,5
28638001,0,1,2,3,4
104859881,0,1,4,2,0
49579858,0,1,0,3,0
87098913,0,1,4,1,1
110374516,1,1,2,1,1
93284287,0,1,5,3,2
108912700,1,1,0,4,2
138390959,1,1,4,2,1
33739321,0,1,1,1,3
99430158,0,1,2,4,2
131997583,1,1,4,2,2
65043683,0,1,3,1,4
31456426,0,1,2,1,5
91342405,0,1,4,0,1
8847877,0,1,4,1,1
33077425,0,1,3,2,3
57954612,0,1,0,2,3
27478941,0,1,5,2,4
11818955,0,1,3,4,3
2763135,0,1,0,4,2
126336907,1,1,3,1,2
87942719,0,1,3,1,1
139019375,1,1,2,3,2
111691361,1,1,3,2,1
107765105,1,1,1,2,0
33802383,0,1,4,4,3
123227202,1,1,0,1,5
19831033,0,1,3,1,0
119278510,1,1,0,1,3
9710339,0,1,3,1,3
60550509,0,1,0,1,2
33744583,0,1,2,3,2
87077725,0,1,0,3,0
91495022,0,1,4,0,1
34187941,0,1,0,0,4
4374427,0,1,3,1,2
141187200,1,1,2,3,0
85515812,0,1,1,0,1
52610714,0,1,4,1,5
135756066,1,1,2,1,1
45820472,0,1,4,2,2
141016162,1,1,2,1,4
114115623,1,1,4,2,4
50355045,0,1,3,3,5
3945782,0,1,0,2,1
71211432,0,1,2,1,1
127771332,1,1,5,0,3
38556307,0,1,1,2,3
23593325,0,1,1,3,3
48777158,0,1,0,2,2
44640814,0,1,4,3,1
68157578,0,1,0,3,2
133744457,1,1,2,4,2
97122756,0,1,3,4,4
12662961,0,1,5,1,2
4231989,0,1,2,1,2
112133723,1,1,1,3,2
62359568,0,1,2,1,0
91540968,0,1,3,4,1
102244291,0,1,1,2,3
13103318,0,1,4,4,1
101560598,1,1,5,2,3
99222509,1,1,5,2,4
120938470,1,1,4,1,4
138964981,1,1,1,2,4
100684618,0,1,3,0,2
111363768,1,1,2,1,0
80216957,0,1,4,2,5
100737108,0,1,0,0,0
25211339,0,1,2,1,2
142244794,1,1,2,2,3
413178,0,1,1,0,1
14664626,0,1,4,2,4
23359188,0,1,3,3,2
13851244,0,1,4,1,1
40358819,0,1,3,1,3
86442990,0,1,4,1,5
104849552,1,1,1,2,5
137996912,1,1,4,1,4
133621051,1,1,1,3,2
127521344,1,1,1,3,2
32353000,0,1,4,1,2
33359405,0,1,1,3,0
138554874,1,1,2,4,5
75321867,0,1,2,2,1
60890401,0,1,3,3,0
133480628,1,1,1,3,1
25438815,0,1,3,2,5
40211203,0,1,0,1,3
129535209,1,1,1,2,4
12711593,0,1,2,0,0
138214018,1,1,4,2,0
123892536,1,1,1,3,1
16113880,0,1,2,2,4
24336759,0,1,4,2,1
59302934,0,1,3,3,4
101970196,1,1,4,2,2
63164461,0,1,1,1,4
12592296,0,1,3,3,4
114845984,1,1,2,1,4
87509181,0,1,2,3,5
93281824,0,1,1,2,4
23740258,0,1,5,1,3
45021776,0,1,3,3,1
139961106,1,1,2,0,2
36886776,0,1,1,2,4
135080969,1,1,1,1,3
89160493,0,1,2,3,1
10219075,0,1,4,3,4
61513100,0,1,3,1,3
97354034,0,1,3,4,4
100772562,0,1,2,0,2
66232679,0,1,0,4,3
139752048,1,1,4,3,2
27129711,0,1,1,3,4
99796276,1,1,4,2,4
102477155,0,1,1,0,2
37638767,0,1,1,3,3
18913329,0,1,3,2,3
88865653,0,1,2,1,4
47137081,0,1,5,2,3
68255573,0,1,2,1,3
9996155,0,1,5,2,5
32334610,0,1,4,2,2
99529968,1,1,3,4,0
77443046,0,1,3,0,2
90065698,0,1,0,2,2
77563495,0,1,4,3,2
114931013,1,1,3,3,3
90943326,0,1,3,2,2
27596072,0,1,1,2,4
48752418,0,1,5,0,4
113551763,1,1,1,3,2
5091068,0,1,1,1,0
58238111,0,1,5,3,3
